Place	State	Latitude	Longitude
Adak Station 	AK	51.8429	-176.640278
Akhiok 	AK	56.97732	-154.217551
Akiachak 	AK	60.87174	-161.403575
Akiak 	AK	60.885659	-161.192264
Akutan 	AK	54.136299	-165.786036
Alakanuk 	AK	62.675611	-164.643602
Alcan 	AK	62.722977	-141.188178
Aleknagik 	AK	59.285485	-158.628962
Allakaket 	AK	66.54517	-152.733117
Ambler 	AK	67.076879	-157.918155
Amchitka 	AK	51.567103	178.87738
Anaktuvuk Pass 	AK	68.115875	-151.679549
Anchor Point 	AK	59.770667	-151.813064
Anchorage 	AK	61.178368	-149.186416
Anderson 	AK	64.306512	-149.159654
Angoon 	AK	57.478409	-134.520029
Aniak 	AK	61.580742	-159.539124
Annette 	AK	55.042123	-131.585763
Anvik 	AK	62.655538	-160.2083
Arctic Village 	AK	68.125245	-145.526906
Atka 	AK	52.242218	-174.205154
Atmautluak 	AK	60.85428	-162.269012
Atqasuk 	AK	70.465827	-157.408634
Barrow 	AK	71.268264	-156.806271
Beaver 	AK	66.334203	-147.314663
Bethel 	AK	60.768211	-161.772218
Bettles 	AK	66.886581	-151.594416
Big Delta 	AK	64.139919	-145.762114
Big Lake 	AK	61.521423	-149.954399
Birch Creek 	AK	66.245449	-145.830269
Brevig Mission 	AK	65.335095	-166.480947
Buckland 	AK	65.981052	-161.131676
Butte 	AK	61.542467	-149.051667
Cantwell 	AK	63.371603	-148.920201
Central 	AK	65.555829	-144.857823
Chalkyitsik 	AK	66.63802	-143.755047
Chase 	AK	62.449074	-150.101756
Chefornak 	AK	60.153746	-164.210294
Chenega 	AK	60.104792	-147.943689
Chevak 	AK	61.53349	-165.591558
Chickaloon 	AK	61.79505	-148.480527
Chignik 	AK	56.301639	-158.415696
Chignik Lagoon 	AK	56.284127	-158.511127
Chignik Lake 	AK	56.256133	-158.772221
Chiniak 	AK	57.631863	-152.182537
Chistochina 	AK	62.564429	-144.687193
Chitina 	AK	61.524841	-144.489121
Chuathbaluk 	AK	61.573195	-159.21641
Circle 	AK	65.824542	-144.08262
Circle Hot Springs 	AK	65.470349	-144.689132
Clam Gulch 	AK	60.224674	-151.402133
Clarks Point 	AK	58.845722	-158.515717
Coffman Cove 	AK	56.008167	-132.83906
Cohoe 	AK	60.316683	-151.564388
Cold Bay 	AK	55.225026	-162.738879
College 	AK	64.869541	-147.823404
Cooper Landing 	AK	60.491092	-149.792268
Copper Center 	AK	61.980756	-145.351126
Copperville 	AK	62.043925	-145.420658
Cordova 	AK	60.547773	-145.747605
Covenant Life 	AK	59.417228	-136.025127
Craig 	AK	55.4828	-133.123153
Crooked Creek 	AK	61.876909	-158.077845
Crown Point 	AK	60.42253	-149.337543
Cube Cove 	AK	57.935095	-134.711234
Deadhorse 	AK	70.205556	-148.511648
Deering 	AK	66.0736	-162.731743
Delta Junction 	AK	64.063687	-145.708158
Dillingham 	AK	59.062164	-158.527978
Diomede 	AK	65.774678	-168.915363
Dora 	AK	55.188991	-132.295196
Dot Lake 	AK	63.629122	-144.09512
Dry Creek 	AK	63.653404	-144.665296
Eagle 	AK	64.778147	-141.200633
